,author,statement,source,target
46,Brandon Mulder,"['quorum-breaking', 'texas', 'democrat', 'said', '2007', 'mail-in', 'ballot', 'fraud', 'greatest', 'source', 'voter', 'fraud', 'state']",Chip Roy,true
47,Laura Schulte,"['says', 'spending', 'democrats', 'driving', 'major', 'jumps', 'car', 'rentals', 'gas', 'prices', 'hotel', 'prices', 'summer']",Tom Tiffany,barely-true
48,Bill McCarthy,"['if', 'employer', 'mandating', 'pokes', 'quit', 'make', 'fire', 'way', 'get', 'unemployment', 'benefits']",Facebook posts,false
49,Kelsey Sena,"['quotes', 'abraham', 'lincoln', 'saying', 'cannot', 'help', 'poor', 'destroying', 'rich']",Facebook posts,false
50,Amy Sherman,"['two', 'federal', 'government', 'buses', 'stopped', 'front', 'mexican', 'restaurant', 'small', 'town', 'green', 'cove', 'springs', 'florida', '…', 'passengers', 'illegal', 'immigrants', 'straight', 'southern', 'border']",Facebook posts,false
51,Warren Fiske,"['wearing', 'masks', 'demonstrated', 'make', 'significant', 'impact', 'preventing', 'spread', 'covid']",Bob Good,false
52,Kiannah Sepeda-Miller,"['house', 'speaker', 'nancy', 'pelosi', 'office', 'calling', 'shots', 'capitol', 'security', 'officials', 'actions', 'jan', '6']",Rodney Davis,barely-true
53,Monique Curet,"['cdc', 'confesses', 'vaccines', 'failing', 'vaxxed', 'superspreaders']",Instagram posts,false
54,Tom Kertscher,"['safer', 'unvaccinated', 'vaccinated', 'covid', '19']",Viral image,false
55,Michael Majchrowicz,"['ivermectin', 'caused', 'substantial', 'decrease', 'excess', 'mortality', 'rate', 'mexico']",Facebook posts,false
56,Jon Greenberg,"['says', 'joe', 'biden', 'democrats', 'done', 'absolutely', 'nothing', 'help', 'families', 'struggling', 'keep', 'inflation']",Rick Scott,false
57,Andy Nguyen,"['fauci', 'told', 'us', 'found', 'coronavirus', 'variant', 'evades', 'test']",Facebook posts,false
58,Madeline Heim,"['says', 'gov', 'tony', 'evers', 'declared', 'wisconsin', 'permanently', 'closed', 'business']",Rebecca Kleefisch,false
59,Tom Kertscher,"['best', 'way', 'avoid', 'covid', 'altogether', 'exercise', 'eat', 'healthy', 'let', 'immune', 'system', 'beat', 'naturally']",Facebook posts,barely-true
60,Amy Sherman,"['florida', 'agriculture', 'commissioner', 'nikki', 'fried', 'suspended', 'gun', 'rights', '—', 'due', 'process', '—', 'she', 'says', 'people', 'merely', 'involved', 'january', '6']",Facebook posts,barely-true
61,Louis Jacobson,"['cdc', 'power', 'extend', 'eviction', 'moratorium']",Nancy Pelosi,barely-true
62,Paul Specht,"['says', 'he', 'worked', 'pass', '2018', 'farm', 'bill', 'helped', 'farmers', 'invest', 'ed', 'rural', 'broadband', 'added', 'work', 'requirements', 'able-bodied', 'adults', 'budd', 'voted']",Mark Walker,half-true
63,Warren Fiske,"['terry', 'mcauliffe', 'record', 'investment', 'education']",Terry McAuliffe,barely-true
64,Monique Curet,"['thanks', ""israel's"", 'sacrifice', 'we', 'know', 'natural', 'immunity', 'far', 'superior', '1', '%', 'experiencing', 're-infection', '40', '%', 'new', 'cases', 'previously', ""vx'd""]",Facebook posts,barely-true
65,Jason Asenso,"['says', 'novak', 'djokovic', 'said', 'simone', 'biles', 'pressure', 'privilege', 'friend', '. ...', 'if', 'aiming', 'top', 'game', 'better', 'start', 'learning', 'deal', 'pressure', '…']",Facebook posts,barely-true
66,Tom Kertscher,"['allow', 'simone', 'biles', 'take', 'adhd', 'medication']",Facebook posts,false
67,Ciara O'Rourke,"['type', '2', 'diabetes', 'gummies', 'nets', 'biggest', 'deal', 'shark', 'tank', 'history']",Bloggers,false
68,Ciara O'Rourke,"['photos', 'show', 'lloyd', 'austin', 'without', 'face', 'shield', 'he', 'landed', 'philippines']",Marco Rubio,barely-true
69,Gabrielle Settles,"['says', 'white', 'man', 'wanted', 'rosa', 'parks', 'seat', 'bus', 'suffering', 'adhd', 'anxiety']",Facebook posts,false
70,Warren Fiske,"['terry', 'mcauliffe', 'governor', 'unemployment', 'went', 'every', 'single', 'county', 'including', 'rural', 'virginia', 'nearly', '50', '%']",Joe Biden,mostly-true
71,Kiannah Sepeda-Miller,"[""can't"", 'actually', 'use', 'arpa', 'american', 'rescue', 'plan', 'act', 'funds', 'pay', 'state', 'unemployment', 'insurance', 'fund', 'deficits']",JB Pritzker,false
72,Amy Sherman,"['mail-in', 'voting', 'requires', 'signature', 'verification']",Facebook posts,false
73,Tom Kertscher,"['known', 'antifa', 'member', 'dressed', 'donald', 'trump', 'supporter', 'caused', 'capitol', 'riot', 'jan', '6']",Viral image,barely-true
74,Victoria Knight,"['cdc', 'revoke', 'emergency', 'use', 'authorization', 'pcr', 'covid', 'tests', 'tests', 'differentiate', 'covid', 'flu', 'viruses', 'translation', ""they've"", 'adding', 'flu', 'cases', 'covid', 'cases', 'using', 'test']",Facebook posts,false
75,Ciara O'Rourke,"['40', 'military', 'tribunals', 'testified']",Facebook posts,false
76,Jason Asenso,"['60', '%', 'patients', 'admitted', 'hospital', 'uk', 'fully', 'vaccinated']",Facebook posts,false
77,Bill McCarthy,"['says', 'c', 'police', 'officer', 'michael', 'fanone', 'person', 'arrested', 'carrying', 'confederate', 'flag', 'u', 'capitol', 'jan', '6']",Instagram posts,pants-fire
78,Madison Czopek,"['opening', 'ceremony', '2012', 'london', 'olympics', 'predicted', 'covid', '19', 'pandemic']",Facebook posts,pants-fire
79,Ciara O'Rourke,"['george', 'washington', 'mandated', 'smallpox', 'vaccines', 'continental', 'army']",Viral image,mostly-true
80,Ciara O'Rourke,"['u', 'military', 'holding', 'white', 'house', 'trump', 'return']",Facebook posts,pants-fire
81,Tom Kertscher,"['general', 'motors', 'admits', 'clean', 'energy', 'used', 'charge', 'electric', 'cars', 'comes', 'coal', '95', '%', 'coal', 'exact']",Facebook posts,false
82,Kelsey Sena,"['photo', 'shows', 'place', 'atlantic', 'ocean', 'pacific', 'ocean', 'face', 'without', 'mixing']",Viral image,false
83,Ciara O'Rourke,"['photo', 'shows', 'donald', 'trump', 'supporters', 'protesting', 'joe', 'biden', 'visit', 'allentown', 'pa']",Viral image,false
84,Jon Greenberg,"['thanks', 'insane', 'tax-and-spending', 'spree', 'president', 'joe', 'biden', 'democrats', 'washington', 'we', 'seeing', 'six', 'straight', 'months', 'raging', 'inflation']",Rick Scott,barely-true
85,Ciara O'Rourke,"['says', 'emmanuel', 'macron', 'said', 'longer', 'intention', 'sacrificing', 'life', 'time', 'freedom', 'adolescence', 'daughters', 'well', 'right', 'study', 'properly', 'refuse', 'vaccinated']",Viral image,false
86,Emily Tian,"['alert', 'law', 'enforcement', 'red', 'cross', 'advised', 'people', 'going', 'door', 'door', 'indicating', 'authorized', 'testing', 'coronavirus']",Facebook posts,barely-true
87,Ciara O'Rourke,"['says', 'marjorie', 'taylor', 'greene', 'said', 'jesus', 'loves', 'u', 'bible', 'written', 'english']",Facebook posts,false
88,Andy Nguyen,"['ethylene', 'oxide', 'used', 'covid', '19', 'testing', 'swabs', 'literally', 'changes', 'structure', 'building', 'blocks', 'body']",Facebook posts,false
89,Tom Kertscher,"['says', 'joe', 'biden', 'restricting', 'travel', 'americans', 'mexico', 'keeping', 'border', 'wide', 'open', 'illegal', 'aliens', 'walk', 'right', 'our', 'country']",Tweets,barely-true
90,Tom Kertscher,"['cdc', 'quietly', 'deletes', '6,000', 'covid', 'vaccine', 'deaths', 'cdc', 'website', 'total', 'one', 'day']",Facebook posts,barely-true
91,Tom Kertscher,"['people', 'charged', 'jan', '6', 'assault', 'u', 'capitol', 'political', 'prisoners', 'non-violent', 'trespassers', 'held', 'solitary', 'confinement', 'past', 'six', 'months']",Instagram posts,barely-true
92,Gabrielle Settles,"['says', 'george', 'floyd', 'criminal', 'history', 'includes', '23', 'arrests', '3', 'car', 'thefts', 'many', 'violent', 'crimes']",Facebook posts,false
93,Jason Asenso,"['kansas', 'city', 'chiefs', 'qb', 'patrick', 'mahomes', 'left', 'training', 'camp', 'says', 'he', 'play', 'another', 'nfl', 'team', 'changes', 'name']",Facebook posts,pants-fire
94,Tom Kertscher,"['believe', 'hype', 'florida', 'covid', '19', 'numbers', 'blatant', 'lie']",Erin Marie Olszewski,pants-fire
95,Bill McCarthy,"['22', 'million', 'illegal', 'aliens', 'living', 'america', '...', 'voting', 'illegally']",Facebook posts,false
96,Monique Curet,"['video', 'montage', 'shows', 'kamala', 'harris', 'others', 'faking', 'vaccination']",Facebook posts,false
97,Kelsey Sena,"['drivers', 'duis', 'getting', '$', '610', 'back', 'savings']",Facebook posts,false
98,Jason Asenso,"['makes', 'sense', 'require', 'vaccinations', 'previously', 'infected']",Facebook posts,false
99,Ciara O'Rourke,"['says', 'nbc', 'producer', 'olympics', 'caught', 'hot', 'mic', 'saying', '60', '%', 'people', 'stadium', 'dead', 'within', '10', 'days']",Viral image,false
100,Madison Czopek,"['photograph', 'shows', 'members', 'u', 'women', 'soccer', 'team', 'kneeling', 'national', 'anthem', 'tokyo', 'olympics']",Facebook posts,false
101,Tom Kertscher,"['people', 'diagnosed', 'delta', 'variant', 'even', 'though', 'delta', 'variant', 'test']",Facebook posts,barely-true
102,Ciara O'Rourke,"['child', 'support', 'card', 'delaware', 'controls', 'mothers', 'cannot', 'buy', 'child', 'support', 'money']",Viral image,false
103,Bill McCarthy,"['government', 'monitoring', 'sms', 'texts', 'dangerous', 'misinformation', 'covid', 'vaccines']",Joe Rogan,barely-true
104,Tom Kertscher,"['ambassador', 'susan', 'rice', 'tribunal', 'gavin', 'newsom', 'indicted']",Facebook posts,pants-fire
105,Paul Specht,"['lumber', 'prices', 'tied', 'trump', 'administration', 'actions']",Alma Adams,half-true
106,Sasha Hupka,"['california', 'personal', 'belief', 'exemption', 'new', 'vaccine', 'added', 'schedule', 'june', '2015', 'public', 'private', 'daycare', 'preschool', 'k', '12']",Instagram posts,false
107,Louis Jacobson,"['cost', 'automobile', 'kind', 'back', 'pandemic']",Joe Biden,false
108,Jason Asenso,"['queen', 'elizabeth', 'husband', 'prince', 'philip', 'found', 'guilty', 'disappearance', '10', 'native', 'children', 'catholic-run', 'kamloops', 'residential', 'school']",Facebook posts,pants-fire
109,Emily Tian,"['referring', 'destroyed', 'brick', 'mural', 'george', 'floyd', 'said', 'highly', 'unusual', 'brick', 'wall', 'destroyed', 'lightning']",Donald Trump Jr.,false
110,Emily Tian,"['coca-cola', 'lost', '$', '4', 'bil', 'market', 'value', 'people', 'boycotting', 'coke', 'try', 'less', 'white', 'statement']",Facebook posts,false
111,Amy Sherman,"['week', 'military', 'moving', 'big', 'equipment', 'major', 'big', 'cities', 'preparing', 'maricopa', 'audit', 'results']",Facebook posts,false
112,Tom Kertscher,"['says', 'joe', 'biden', 'kamala', 'harris', 'distrusted', 'covid', '19', 'vaccines']",TikTok posts,false
113,Jon Greenberg,"['income', 'taxes', 'voluntary']",Facebook posts,pants-fire
114,Brandon Mulder,"['seventy', 'four', 'thousand', '...', 'many', 'mail-in', 'ballots', 'recently', 'found', 'arizona', 'clear', 'record', 'sent']",Texas GOP,pants-fire
115,Gabrielle Settles,"['coronavirus', 'dangerous', 'biohazard', 'bins', 'covid', '19', 'masks', 'gloves']",Facebook posts,false
116,Louis Jacobson,"['ten', 'thousand', 'people', 'recently', 'died', '9,950', 'thereabouts', 'people', 'vaccinated']",Joe Biden,mostly-true
117,Jon Greenberg,"['president', 'biden', 'says', 'he', 'wants', 'ban', 'handguns']",House Republicans,false
118,Amy Sherman,"['going', 'get', 'covid', 'if', 'vaccinations']",Joe Biden,half-true
119,Natalie Dunlap,"['south', 'dakota', 'putting', 'prayer', 'back', 'our', 'schools']",Kristi Noem,false
120,Tom Kertscher,"['arizona', 'georgia', 'proof', 'joe', 'biden', 'our', 'elected', 'president']",Viral image,pants-fire
121,Monique Curet,"['45,000', 'confirmed', 'dead', 'covid', '19', 'shots', 'within', 'three', 'days', '…', 'covered']",Instagram posts,pants-fire
122,Kelsey Sena,"['americans', 'vaccinated', '2022', 'put', 'camps']",Instagram posts,pants-fire
123,Warren Fiske,"['every', 'republican', 'congress', 'voted', 'defund', 'police', 'voted', 'american', 'rescue', 'plan']",Bobby Scott,false
124,Tom Kertscher,"['if', 'shot', 'actually', 'saved', 'lives', 'priced', 'high', 'literally', 'could', 'afford', 'know', 'like', 'insulin']",Viral image,false
125,Jon Greenberg,"['questions', 'whether', 'she', 'vaccinated', 'violation', 'hipaa', 'rights']",Marjorie Taylor Greene,false
126,Ciara O'Rourke,"['canada', 'prohibits', 'vaxxed', 'pilots', 'flying']",Bloggers,false
127,Ciara O'Rourke,"['ex-aarp', 'members', 'wrote', 'letter', 'criticizing', 'biden', 'regime']",Facebook posts,barely-true
128,Ciara O'Rourke,"['photo', 'shows', 'people', 'protesting', 'vaccine', 'tyranny', 'france']",Viral image,false
129,Madison Czopek,"['must', 'give', 'every', 'penny', 'advance', 'child', 'tax', 'credit', 'payments', 'back', 'file', '2021', 'taxes']",Tweets,barely-true
130,Tom Kertscher,"['unvaccinated', 'get', 'covid', '99', '%', 'chance', 'survival', 'get', 'vaccinated', 'still', 'get', 'covid', 'still', '99', '%', 'chance', 'survival']",Tomi Lahren,barely-true
131,Ciara O'Rourke,"['five', 'jetblue', 'pilots', 'died', 'covid', '19', 'vaccine']",Facebook posts,false
132,Jon Greenberg,"['says', 'jeff', 'bezos', 'put', '300', 'metric', 'tons', 'carbon', 'atmosphere', '180', 'seconds', 'space']",Tweets,false
133,Ciara O'Rourke,"['injected', 'saline', 'would', 'look', 'suspicious', 'if', 'everybody', 'died', 'time']",Viral image,false
134,Bill McCarthy,"['appears', 'actually', 'meaningful', 'voter', 'fraud', 'fulton', 'county', 'georgia', 'last', 'november', 'conspiracy', 'theory', 'true']",Tucker Carlson,false
135,Laura Schulte,"['farm', '2,500', 'dairy', 'cattle', 'similar', 'waste', 'load', 'city', '411,000', 'people']",Jill Karofsky,false
136,Tom Kertscher,"['says', 'donald', 'trump', 'arizona']",Viral image,false
137,Ciara O'Rourke,"['says', 'kayleigh', 'mcenany', 'john', 'f', 'kennedy', 'jr', 'daughter']",Viral image,false
138,Kiannah Sepeda-Miller,"['may', '55', 'years', 'old', '[', 'illinois', ']', 'citizen', 'eligible', 'medicaid', 'if', 'undocumented', 'immigrant', '55', 'older', 'eligible', 'medicaid']",Terri Bryant,false
139,Tom Kertscher,"['2020', 'presidential', 'election', '4,255', 'ballots', 'fulton', 'county', 'georgia', 'scanned', 'multiple', 'times', '3,390', 'went', 'biden']",Facebook posts,false
140,Tom Kertscher,"['biden', 'concedes', '6', 'million', 'votes']",Facebook posts,pants-fire
141,Kelsey Sena,"['olympic', 'village', 'cardboard', 'beds', 'prevent', 'olympians', 'sex', 'thus', 'risk', 'spreading', 'covid', '19']",Tweets,pants-fire
142,Andy Nguyen,"['photo', 'shows', 'electric', 'car', 'charging', 'station', 'uses', '12', 'gallons', 'diesel', 'fuel', 'per', 'hour', 'takes', 'three', 'hours', 'fully', 'charge', 'car', 'get', '200', 'miles', ""that's"", '36', 'gallons', '200', 'miles', '5.6', 'mpg']",Facebook posts,false
143,Gabrielle Settles,"['u', 'sanctions', 'mean', 'cuba', 'trade', 'country', 'company', 'whatsoever']",Facebook posts,false
144,Ciara O'Rourke,"['car', 'flooded', 'germany', 'sticker', 'critical', 'greta', 'thunberg']",Viral image,false
145,Tom Kertscher,"['says', '2020', 'presidential', 'election', 'maricopa', 'county', 'ariz', '74,243', 'mail-in', 'ballots', 'counted', 'clear', 'record', 'sent']",Donald Trump,false
146,Kelsey Sena,"['protest', 'video', 'shows', 'resistance', 'president', 'macron', 'plan', 'mandatory', 'covid', 'vaccinations', 'french', 'citizens']",Facebook posts,false
147,Katie Sanders,"['image', 'shows', 'president', 'joe', 'biden', 'touching', 'olivia', 'rodrigo', 'shoulders', 'white', 'house', 'press', 'briefing']",Viral image,pants-fire
148,Brandon Mulder,"['clear', 'legal', 'authority', 'handcuff', 'put', 'leg', 'irons', 'legislators', 'trying', 'stop', 'legislature', 'able', 'business']",Ted Cruz,false
149,Sasha Hupka,"['newly', 'obtained', 'emails', 'show', 'ucsf', 'harvesting', 'clitorises', 'testicles', 'penises', 'murdered', 'babies']",Facebook posts,false
150,Monique Curet,"['headlines', 'show', 'cnn', 'published', 'contradictory', 'reports', 'hydroxychloroquine', '2020']",Facebook posts,false
151,Tom Kertscher,"['government', 'infiltrating', 'personal', 'text', 'messages']",Facebook posts,false
152,Amy Sherman,"['new', 'proposed', 'state', 'laws', 'voting', 'mean', 'if', 'going', 'standing', 'line', 'hours', 'water', 'food']",Kamala Harris,barely-true
153,Kelsey Sena,"['post', 'says', 'recent', 'bill', 'passed', 'we', 'get', 'another', 'stimulus', 'check', '$', '2500', 'july', '30', '2021']",Facebook posts,pants-fire
154,Jason Asenso,"['federal', 'agents', 'going', 'door-to-door', 'coercing', 'people', 'injected', 'experimental', 'drugs']",Instagram posts,barely-true
155,Monique Curet,"['carbon', 'dioxide', 'problem', 'earth', 'enough', 'land', 'ocean', 'plant', 'life', 'metabolize']",Facebook posts,false
156,Paul Specht,"['says', 'showing', 'front', 'doors', 'people', 'houses', 'violating', 'hipaa', 'laws', 'requesting', 'private', 'medical', 'information', 'regarding', 'vaccination', 'status', 'unacceptable', 'illegal']",Mark Robinson,false
157,Tom Kertscher,"['says', 'february', 'facebook', 'post', 'britney']",Facebook posts,barely-true
158,Kelsey Sena,"['breaking', 'pennsylvania', 'initiated', 'full', 'audit', 'rigged', 'election']",Facebook posts,false
159,Paul Specht,"['75', '%', 'north', 'carolina', 'supports', 'medical', 'marijuana']",Wiley Nickel,half-true
160,Samantha Putterman,"['bodyguard', 'high-ranking', 'democrat', 'congress', 'fired', 'shot', 'killed', 'ashli', 'babbitt', 'jan', '6']",Facebook posts,false
161,Gabrielle Settles,"['guns', 'whatsoever', 'capitol', 'riot', 'jan', '6']",Donald Trump,false
162,Louis Jacobson,"['2020', 'people', 'voted', 'america', 'ever', 'history', 'america', 'middle', 'once-in-a-century', 'pandemic']",Joe Biden,mostly-true
163,Ciara O'Rourke,"['says', 'cnn', 'reported', 'joe', 'biden', 'authorized', 'u', 'intervention', 'haiti', 'assassination', 'president', 'jovenel', 'moïse']",Viral image,false
164,Samantha Putterman,"['says', 'crowd', 'video', 'shows', 'ongoing', 'protests', 'cuba']",Tweets,false
165,Ciara O'Rourke,"['says', 'haitian', 'president', 'jovenel', 'moïse', 'going', 'expose', 'clinton', 'foundation', 'fraud', 'he', 'assassinated']",Viral image,pants-fire
166,Tom Kertscher,"['says', 'facebook', 'imposes', '7', '%', 'limit', 'user', 'sharing']",Viral image,false
167,Samantha Putterman,"['haiti', 'tanzania', 'madagascar', 'refused', 'covid', '19', 'vaccines', 'three', 'presidents', 'died', 'unexpectedly']",Facebook posts,false
168,Ciara O'Rourke,"['lauren', 'boebert', 'received', 'ppp', 'loan', 'restaurant']",Facebook posts,false
169,Kelsey Sena,"['number', 'children', 'seven', 'countries', 'missing', 'far', 'year', 'range', '20,000', '460,000']",Instagram posts,false
170,Emily Tian,"['sudden', 'infant', 'death', 'syndrome', 'absolutely', 'side', 'effect', 'vaccination']",Instagram posts,false
171,Samantha Putterman,"['study', 'found', '82', '%', 'miscarriage', 'rate', 'among', 'women', '30', 'days', '20', 'weeks', 'pregnant', 'got', 'mrna', 'covid', '19', 'vaccine']",Facebook posts,false
172,Jason Asenso,"['deleted', 'telegram', 'post', 'former', 'president', 'trump', 'congratulated', 'navy', 'seals', 'perfect', 'beautiful', 'whack', 'haiti']",Instagram posts,false
173,Louis Jacobson,"['we', 'created', '3', 'million', 'jobs', 'since', 'took', 'office', 'jobs', 'ever', 'created', 'first', 'five', 'months', 'presidency', 'modern', 'history']",Joe Biden,half-true
174,Jon Greenberg,"['crime', 'escalating', 'level', 'we', 'seen', 'decades', 'direct', 'result', 'democrats', 'defund', 'police', 'movement', 'biden-harris', 'open-border', 'policies']",Republican National Committee,false
175,Samantha Putterman,"['news', 'organizations', 'sponsors', 'ignored', 'accomplishments', 'kim', 'rhode', 'six-time', 'olympic', 'medalist', 'support', 'second', 'amendment']",Facebook posts,false
176,Andy Nguyen,"['if', 'covid', '19', 'real', 'duke', 'duchess', 'cambridge', 'allowed', 'join', '50,000', 'football', 'fans', 'inside', 'stadium']",Instagram posts,false
177,Ciara O'Rourke,"['says', 'alexandria', 'ocasio-cortez', 'compared', 'smoking', 'marijuana', 'transgender', 'women', 'olympics']",Viral image,false
178,Ciara O'Rourke,"['canadian', 'mayor', 'said', 'muslims', 'must', 'integrate', 'demanded', 'removal', 'pork', 'school', 'canteens', 'montreal']",Facebook posts,false
179,Tom Kertscher,"['records', 'suggest', '100', 'batches', 'absentee', 'ballots', 'fulton', 'county', 'could', 'missing']",Just the News,false
180,Brandon Mulder,"['texas', 'power', 'companies', 'automatically', 'raised', 'temperature', ""people's"", 'thermostats', 'middle', 'heatwave', 'without', 'permission']",Tucker Carlson,false
