,author,statement,source,target
42,Ciara O'Rourke,Photo shows Laurel Hubbard “winning the women's weight lifting competition” at the Olympics.,Viral image,false
43,Paul Specht,“More people have died of an opioid overdose in North Carolina in recent years than have died of COVID.”,Josh Stein,barely-true
44,Brandon Mulder,A quorum-breaking Texas Democrat said in 2007 that mail-in ballot fraud “is the greatest source of voter fraud in this state.”,Chip Roy,true
45,Laura Schulte,"Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer",Tom Tiffany,barely-true
46,Bill McCarthy,"""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits.""",Facebook posts,false
47,Kelsey Sena,"Quotes Abraham Lincoln as saying, “You cannot help the poor by destroying the rich.”",Facebook posts,false
48,Amy Sherman,"Two federal government buses “stopped in front of a Mexican restaurant in the very small town of Green Cove Springs Florida… The passengers were illegal immigrants, straight from the southern border.”",Facebook posts,false
49,Warren Fiske,“Wearing masks has not been demonstrated to make a significant impact in preventing the spread of COVID.”,Bob Good,false
50,Kiannah Sepeda-Miller,House Speaker Nancy Pelosi’s “office was calling the shots on all of their (Capitol security officials’) actions on Jan. 6.”,Rodney Davis,barely-true
51,Monique Curet,"“CDC confesses: Vaccines are failing, and the vaxxed can be superspreaders.”",Instagram posts,false
52,Tom Kertscher,It’s safer to be unvaccinated than vaccinated against COVID-19.,Viral image,false
53,Michael Majchrowicz,Ivermectin caused a substantial decrease in the excess mortality rate in Mexico.,Facebook posts,false
54,Jon Greenberg,Says Joe Biden and Democrats “have done absolutely nothing to help families struggling to keep up with inflation.”,Rick Scott,false
55,Andy Nguyen,“Fauci just told us they found a (coronavirus) variant that ‘evades the test.’”,Facebook posts,false
56,Madeline Heim,Says Gov. Tony Evers has declared Wisconsin “permanently closed” for business.,Rebecca Kleefisch,false
57,Tom Kertscher,"“The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.”",Facebook posts,barely-true
58,Amy Sherman,Florida Agriculture Commissioner Nikki Fried “suspended gun rights — no due process — just because she says these people were merely ‘involved’ in January 6.”,Facebook posts,barely-true
59,Louis Jacobson,"""The CDC has the power to extend the eviction moratorium.”",Nancy Pelosi,barely-true
60,Paul Specht,"Says he worked to pass the 2018 farm bill “that helped farmers, invest(ed) in rural broadband, and added work requirements for able-bodied adults, Budd voted NO.”",Mark Walker,half-true
61,Warren Fiske,“Under Terry McAuliffe (there was a) record investment in education.”,Terry McAuliffe,barely-true
62,Monique Curet,"“Thanks to (Israel's) sacrifice, we now know that natural immunity is far superior with 1% experiencing re-infection while 40% of new cases were previously vx'd.""",Facebook posts,barely-true
63,Jason Asenso,"Says Novak Djokovic said of Simone Biles: “Pressure is a privilege, my friend. ...If you are aiming to be at the top of the game you better start learning how to deal with pressure…”",Facebook posts,barely-true
64,Tom Kertscher,"""They didn't allow"" Simone Biles ""to take her ADHD medication.""",Facebook posts,false
65,Ciara O'Rourke,“Type-2 diabetes gummies nets the biggest deal in ‘Shark Tank’ history!”,Bloggers,false
66,Ciara O'Rourke,Photos show Lloyd Austin without a face shield after he landed in the Philippines.,Marco Rubio,barely-true
67,Gabrielle Settles,Says the white man who wanted Rosa Parks’ seat on the bus was suffering from ADHD and anxiety.,Facebook posts,false
68,Warren Fiske,"When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",Joe Biden,mostly-true
69,Kiannah Sepeda-Miller,“You can't actually use ARPA (American Rescue Plan Act) funds” to pay down state unemployment insurance fund deficits.,JB Pritzker,false
70,Amy Sherman,Mail-in voting requires no signature verification.,Facebook posts,false
71,Tom Kertscher,“A known antifa member” dressed as a Donald Trump supporter “and caused the Capitol riot” on Jan. 6.,Viral image,barely-true
72,Victoria Knight,"CDC ""will revoke the emergency use authorization"" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. ""Translation: They've been adding flu cases to Covid cases when using that test.”",Facebook posts,false
73,Ciara O'Rourke,“More than 40 military tribunals testified.”,Facebook posts,false
74,Jason Asenso,“60% of patients admitted to the hospital in the UK have been fully vaccinated”,Facebook posts,false
75,Bill McCarthy,Says D.C. police officer Michael Fanone is the same person who was arrested after carrying a Confederate flag through the U.S. Capitol on Jan. 6.,Instagram posts,pants-fire
76,Madison Czopek,The opening ceremony of the 2012 London Olympics predicted the COVID-19 pandemic.,Facebook posts,pants-fire
77,Ciara O'Rourke,“George Washington mandated smallpox vaccines for the Continental Army.”,Viral image,mostly-true
78,Ciara O'Rourke,“U.S. military holding White House for Trump’s return.”,Facebook posts,pants-fire
79,Tom Kertscher,"General Motors “admits the 'clean' energy used to charge electric cars comes from coal, 95% coal, to be exact.""",Facebook posts,false
80,Kelsey Sena,Photo shows the place where “the Atlantic Ocean and the Pacific Ocean face each other without mixing.”,Viral image,false
81,Ciara O'Rourke,"Photo shows Donald Trump supporters protesting Joe Biden’s visit to Allentown, Pa.",Viral image,false
82,Jon Greenberg,"“Thanks to the insane tax-and-spending spree of President Joe Biden and Democrats in Washington, we are seeing six straight months of raging inflation.”",Rick Scott,barely-true
83,Ciara O'Rourke,"Says Emmanuel Macron said, “I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.”",Viral image,false
84,Emily Tian,“Alert: Law enforcement and the Red Cross have advised that there are people going door to door indicating that they are authorized to do testing for Coronavirus.”,Facebook posts,barely-true
85,Ciara O'Rourke,"Says Marjorie Taylor Greene said, “Jesus loves the U.S. most and that is why the Bible is written in English.”",Facebook posts,false
86,Andy Nguyen,Ethylene oxide used in COVID-19 testing swabs “literally changes the structure of the building blocks of your own body.”,Facebook posts,false
87,Tom Kertscher,"Says Joe Biden “is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.”",Tweets,barely-true
88,Tom Kertscher,"“CDC quietly deletes 6,000 COVID vaccine deaths from its CDC website total in one day.”",Facebook posts,barely-true
89,Tom Kertscher,People charged in the Jan. 6 assault on the U.S. Capitol are “political prisoners” and “non-violent trespassers” who have been held in solitary confinement for the past six months.,Instagram posts,barely-true
90,Gabrielle Settles,"Says George Floyd’s criminal history includes “23 arrests,” “3 car thefts” and many violent crimes.",Facebook posts,false
91,Jason Asenso,"""Kansas City Chiefs QB Patrick Mahomes has left training camp and says he will ‘not play another down in the NFL’ until the team changes their name.”",Facebook posts,pants-fire
92,Tom Kertscher,“Don’t believe the hype that Florida” COVID-19 “numbers are up. It’s a blatant lie.”,Erin Marie Olszewski,pants-fire
93,Bill McCarthy,There are “22 million illegal aliens living in America and ... voting illegally.”,Facebook posts,false
94,Monique Curet,Video montage shows Kamala Harris and others faking vaccination.,Facebook posts,false
95,Kelsey Sena,“Drivers with no DUIs are getting up to $610 back in savings.”,Facebook posts,false
96,Jason Asenso,“It makes no sense to require vaccinations for the previously infected.”,Facebook posts,false
97,Ciara O'Rourke,Says an NBC producer at the Olympics was caught on a hot mic saying “60% of people in this stadium will be dead within 10 days.”,Viral image,false
98,Madison Czopek,A photograph shows members of the U.S. women’s soccer team kneeling during the national anthem at the Tokyo Olympics.,Facebook posts,false
99,Tom Kertscher,"""People are being diagnosed with delta variant"" even though ""there is no delta variant test.""",Facebook posts,barely-true
100,Ciara O'Rourke,"“Child support card” in Delaware ""controls what mothers can and cannot buy with child support money.”",Viral image,false
101,Bill McCarthy,The government is “monitoring SMS texts for dangerous misinformation about COVID vaccines.”,Joe Rogan,barely-true
102,Tom Kertscher,"“Ambassador Susan Rice Tribunal, Gavin Newsom indicted.”",Facebook posts,pants-fire
103,Paul Specht,"""Lumber prices can be tied to the (Trump) administration’s actions.""",Alma Adams,half-true
104,Sasha Hupka,"“California has a personal belief exemption to any new vaccine added to the schedule after June 2015 for public and private daycare, preschool and K-12.”",Instagram posts,false
105,Louis Jacobson,"""The cost of an automobile, it's kind of back to what it was before the pandemic.""",Joe Biden,false
106,Jason Asenso,“Queen Elizabeth and her husband Prince Philip were found guilty in the disappearance of 10 native children from the Catholic-run Kamloops residential school”,Facebook posts,pants-fire
107,Emily Tian,"Referring to a destroyed brick mural of George Floyd, said it’s highly unusual for a brick wall to be destroyed by lightning.",Donald Trump Jr.,false
108,Emily Tian,“Coca-Cola has lost $4 bil in market value as people are boycotting Coke for their ‘try to be less White’ statement.”,Facebook posts,false
109,Amy Sherman,“This week the military was moving big equipment into the major big cities preparing for the Maricopa audit results.”,Facebook posts,false
110,Tom Kertscher,Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,TikTok posts,false
111,Jon Greenberg,"""Income taxes are voluntary.""",Facebook posts,pants-fire
112,Brandon Mulder,“Seventy four thousand... That’s how many mail-in ballots were recently found in Arizona that have NO clear record of being sent in.”,Texas GOP,pants-fire
113,Gabrielle Settles,The coronavirus can’t be so dangerous because there are no biohazard bins for COVID-19 masks and gloves.,Facebook posts,false
114,Louis Jacobson,"“Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",Joe Biden,mostly-true
115,Jon Greenberg,“President Biden says he wants to ban handguns.”,House Republicans,false
116,Amy Sherman,“You’re not going to get COVID if you have these vaccinations.”,Joe Biden,half-true
117,Natalie Dunlap,"“In South Dakota, I’m putting prayer back in our schools.”",Kristi Noem,false
118,Tom Kertscher,"“Arizona and Georgia now have the proof,” Joe Biden is “not our elected president!”",Viral image,pants-fire
119,Monique Curet,"“45,000 confirmed dead from the COVID-19 shots within three days… and they’ve covered it up.”",Instagram posts,pants-fire
120,Kelsey Sena,“Americans not vaccinated before 2022 will be put in camps”,Instagram posts,pants-fire
121,Warren Fiske,“Every Republican in Congress voted to defund the police when they voted against the American Rescue Plan.”,Bobby Scott,false
122,Tom Kertscher,"“If the shot actually saved lives, they’d be priced so high that you literally could not afford them, you know like insulin.”",Viral image,false
123,Jon Greenberg,Questions about whether she’s been vaccinated are “a violation of my HIPAA rights.”,Marjorie Taylor Greene,false
124,Ciara O'Rourke,“Canada prohibits all vaxxed pilots from flying.”,Bloggers,false
125,Ciara O'Rourke,Ex-AARP members wrote this letter criticizing the “Biden Regime.”,Facebook posts,barely-true
126,Ciara O'Rourke,Photo shows people protesting against “vaccine tyranny” in France.,Viral image,false
127,Madison Czopek,“You must give EVERY PENNY” of the advance child tax credit payments back when you file your 2021 taxes.,Tweets,barely-true
128,Tom Kertscher,"“Unvaccinated, you can get COVID and have over 99% chance of survival. Get vaccinated and you can still get COVID and will still have over 99% chance of survival.”",Tomi Lahren,barely-true
129,Ciara O'Rourke,Five JetBlue pilots died from the COVID-19 vaccine.,Facebook posts,false
130,Jon Greenberg,Says “Jeff Bezos will put 300 (metric tons) of carbon into the atmosphere for 180 seconds in space.”,Tweets,false
131,Ciara O'Rourke,“Some of you are being injected with saline because it would look too suspicious if everybody died at the same time.”,Viral image,false
132,Bill McCarthy,"“It now appears there actually was meaningful voter fraud in Fulton County, Georgia, last November. That is not a conspiracy theory. It's true.”",Tucker Carlson,false
133,Laura Schulte,"“A farm with 2,500 dairy cattle is similar in waste load to a city of 411,000 people.”",Jill Karofsky,false
134,Tom Kertscher,Says Donald Trump “won Arizona.”,Viral image,false
135,Ciara O'Rourke,Says Kayleigh McEnany is John F. Kennedy Jr.’s daughter.,Viral image,false
136,Kiannah Sepeda-Miller,"“You may be 55 years old in [Illinois] and a citizen and not eligible for Medicaid. But if you are an undocumented immigrant and 55 or older, you’re eligible for Medicaid.”",Terri Bryant,false
137,Tom Kertscher,"In the 2020 presidential election, “4,255 ballots in Fulton County, Georgia, were scanned multiple times” and “3,390 went to Biden.”",Facebook posts,false
138,Tom Kertscher,"""Biden concedes 6 million votes.""",Facebook posts,pants-fire
139,Kelsey Sena,"Olympic Village has cardboard beds “to prevent Olympians from having sex, and thus risk spreading (COVID-19).”",Tweets,pants-fire
140,Andy Nguyen,"Photo shows an electric car charging station that uses ""12 gallons of diesel fuel per hour, and it takes three hours to fully charge a car to get 200 miles. That's 36 gallons for 200 miles. 5.6 mpg.""",Facebook posts,false
141,Gabrielle Settles,U.S. sanctions mean “Cuba can’t trade with any country or any company whatsoever.”,Facebook posts,false
142,Ciara O'Rourke,A car flooded in Germany had a sticker critical of Greta Thunberg.,Viral image,false
143,Tom Kertscher,"Says that in the 2020 presidential election in Maricopa County, Ariz., ""74,243 mail-in ballots were counted with 'no clear record of them being sent.'""",Donald Trump,false
144,Kelsey Sena,Protest video shows “resistance” to “President Macron’s plan for mandatory COVID vaccinations of all French citizens.”,Facebook posts,false
145,Katie Sanders,An image shows President Joe Biden touching Olivia Rodrigo’s shoulders during a White House press briefing.,Viral image,pants-fire
146,Brandon Mulder,"""There is clear legal authority to handcuff and put in leg irons legislators that are trying to stop the legislature from being able to do business.""",Ted Cruz,false
147,Sasha Hupka,"“Newly obtained emails show UCSF harvesting the clitorises, testicles and penises of murdered babies.”",Facebook posts,false
148,Monique Curet,Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,Facebook posts,false
149,Tom Kertscher,"""The government will be infiltrating” personal text messages.",Facebook posts,false
150,Amy Sherman,"New and proposed state laws on voting mean “if you are going to be standing in that line for all those hours, you can’t have any water or any food.”",Kamala Harris,barely-true
151,Kelsey Sena,"Post says a recent bill passed, and “We get another stimulus check for $2500 at July 30, 2021”",Facebook posts,pants-fire
152,Jason Asenso,Federal agents are going “door-to-door coercing people to be injected with experimental drugs.”,Instagram posts,barely-true
153,Monique Curet,Carbon dioxide “is not a problem. The Earth has more than enough land and ocean plant life to metabolize it.”,Facebook posts,false
154,Paul Specht,Says “showing up at the front doors of people’s houses and violating HIPAA laws by requesting private medical information regarding their vaccination status is unacceptable and illegal.”,Mark Robinson,false
155,Tom Kertscher,"Says in February Facebook post that ""Britney won.""",Facebook posts,barely-true
156,Kelsey Sena,“BREAKING: Pennsylvania initiated a FULL audit of the RIGGED ELECTION”,Facebook posts,false
157,Paul Specht,“Over 75% of (North Carolina) supports medical marijuana.”,Wiley Nickel,half-true
158,Samantha Putterman,A bodyguard of a high-ranking Democrat in Congress fired the shot that killed Ashli Babbitt on Jan. 6.,Facebook posts,false
159,Gabrielle Settles,“There were no guns whatsoever” at the Capitol riot on Jan. 6.,Donald Trump,false
160,Louis Jacobson,"""In 2020, more people voted in America than ever in the history of America, in the middle of a once-in-a-century pandemic.""",Joe Biden,mostly-true
161,Ciara O'Rourke,Says CNN reported that Joe Biden authorized “a U.S. intervention in Haiti after the assassination of President Jovenel Moïse.”,Viral image,false
162,Samantha Putterman,Says this crowd video shows the ongoing protests in Cuba.,Tweets,false
163,Ciara O'Rourke,Says Haitian President Jovenel Moïse was going to “expose Clinton Foundation fraud” before he was assassinated.,Viral image,pants-fire
164,Tom Kertscher,Says Facebook imposes a 7% limit on a user’s sharing.,Viral image,false
165,Samantha Putterman,"Haiti, Tanzania and Madagascar refused the COVID-19 vaccines and now all three of their presidents have died unexpectedly.",Facebook posts,false
166,Ciara O'Rourke,“Lauren Boebert received a PPP loan for her restaurant.”,Facebook posts,false
167,Kelsey Sena,"The number of children in seven countries “missing so far this year” range from 20,000 to 460,000.",Instagram posts,false
168,Emily Tian,Sudden Infant Death Syndrome “is absolutely a side effect of vaccination.”,Instagram posts,false
169,Samantha Putterman,A study found an “82% miscarriage rate” among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.,Facebook posts,false
170,Jason Asenso,"“In a now deleted Telegram post, former President Trump congratulated the Navy Seals on a ‘perfect beautiful whack’"" in Haiti.",Instagram posts,false
171,Louis Jacobson,"“We have now created over 3 million jobs since I took office, more jobs than have ever been created in the first five months of any presidency in modern history.”",Joe Biden,half-true
172,Jon Greenberg,"""Crime is escalating to a level we haven’t seen in decades as a direct result of Democrats’ defund the police movement and Biden-Harris open-border policies.""",Republican National Committee,false
173,Samantha Putterman,"News organizations and sponsors ignored the accomplishments of Kim Rhode, a six-time Olympic medalist, because of her support of the Second Amendment.",Facebook posts,false
174,Andy Nguyen,"If COVID-19 was real, the Duke and Duchess of Cambridge wouldn’t have been “allowed to join 50,000 other football fans inside a stadium.""",Instagram posts,false
175,Ciara O'Rourke,Says Alexandria Ocasio-Cortez compared smoking marijuana and transgender women in the Olympics.,Viral image,false
176,Ciara O'Rourke,A Canadian mayor said Muslims must integrate after they “demanded removal of pork in all school canteens in Montreal.”,Facebook posts,false
177,Tom Kertscher,"""Records suggest more than 100 batches of absentee ballots in Fulton County could be missing.""",Just the News,false
178,Brandon Mulder,"“In Texas, the power companies have automatically raised the temperature of people's thermostats in the middle of a heatwave without their permission.""",Tucker Carlson,false
179,Bill McCarthy,"“We know most of our forefathers, all of our main Founding Fathers were against slavery, recognized the evils of it.”",Kayleigh McEnany,barely-true
180,Emily Tian,Charcoal activated tablets “will counteract most date rape drugs.”,Facebook posts,false
181,Madeline Heim,“Wisconsin is 49th in public health spending.”,Jon Erpenbach,half-true
182,Gabrielle Settles,"Says George Floyd died ""because he had a system full of fentanyl and meth,"" and “beat women and held guns to their pregnant bellies.”",Facebook posts,false
183,Steven Rascón,“San Francisco Allowing Children to ‘Consent’ to Covid Vaccine Without Parents Approval.”,Facebook posts,barely-true
184,Louis Jacobson,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",Donald Trump,false
185,Ciara O'Rourke,“Facebook said that if you support the NRA you will get kicked off.”,Facebook posts,false
186,Michael Majchrowicz,Jill Biden implied the COVID-19 pandemic was planned.,Instagram posts,false
187,Ciara O'Rourke,Says the Wyoming State Parks Department said it “discovered what looks like a giant root system stemming from the base of the Devils Tower.”,Facebook posts,false
188,Tom Kertscher,"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",Facebook posts,false
189,Tom Kertscher,Four pharmaceutical companies have questionable track records that suggest their COVID-19 vaccines aren’t safe.,Instagram posts,half-true
190,Andy Nguyen,Three white former police officers were sentenced to less prison time — combined — for killing three Black people than a Black man was for selling marijuana.,Instagram posts,half-true
191,Tom Kertscher,"""President Trump's net gain while in office $0, Nancy Pelosi's net gain while in office $191 million.""",Instagram posts,half-true
192,Ciara O'Rourke,Says Nancy Pelosi “won’t let Capitol police testify about what happened Jan. 6.”,Facebook posts,false
193,Tom Kertscher,The delta variant of the coronavirus “is approximately 19 times less deadly.”,Instagram posts,barely-true
194,Bill McCarthy,"“Fauci says there will be 'two Americas': One for vaccinated, one for unvaccinated.”",Instagram posts,barely-true
195,Samantha Putterman,Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.,Facebook posts,false
196,Ciara O'Rourke,“Rebecca Washington is set to replace Sha’Carri Richardson on the U.S. Olympic team.”,Viral image,false
197,Natalie Dunlap,"The “Back the Blue” Act that Gov. Kim Reynolds signs means you can't wear the American flag. ""So throw out those towels and swimsuits ... or you’re a criminal!""",Greg Hauenstein,false
198,Ciara O'Rourke,“‘LOL’ stands for ‘Lucifer our Lord.’ Satanists end their prayers by saying ‘Lucifer our Lord’.”,Viral image,false
199,D.L. Davis,“In 2020 we won (Wisconsin).”,Donald Trump,pants-fire
200,Laura Schulte,Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”,Donald Trump,pants-fire
201,Kiannah Sepeda-Miller,Cook County’s criminal courts “have been shut down for 15 months.”,Lori Lightfoot,false
202,Jill Terreri,“40% of jobs in this country pay less than the average unemployment check of $750/week.”,Adriano Espaillat,half-true
203,Sasha Hupka,“California literally just told everyone to not charge their electric cars due to power shortage.”,Facebook posts,false
204,Samantha Putterman,Says the Make-A-Wish Foundation will grant wishes only to fully vaccinated children.,Instagram posts,false
205,Bill McCarthy,"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long.""",Facebook posts,false
206,Jason Asenso,“The national debt is now bigger than our economy. That hasn’t happened since World War Two – and we’re in peacetime. Joe Biden is digging a hole America can never fill.”,Nikki Haley,half-true
207,Brandon Mulder,"“Carnage"" is being caused ""by people who are coming across the border.""",Greg Abbott,false
208,Tom Kertscher,"A “peer reviewed, scientific study showed that the COVID-19 vaccine causes two deaths for every three lives it saves.”",Liz Wheeler,barely-true
209,Madeline Heim,Says people are moving to Milwaukee “in record numbers”,Peter Feigin,barely-true
210,Samantha Putterman,A video shows an animal chip scanner detecting a microchip where a woman was vaccinated.,Instagram posts,pants-fire
211,Bill McCarthy,“Muslim BTS fan accidentally plays the song 'Dynamite' instead of Azaan on loudspeakers at 4am; gets arrested.”,Instagram posts,pants-fire
212,Lyle Muller,"""We’re not even remotely close to a point to say that we’re at rising inflation.""",Cindy Axne,half-true
213,Kelsey Sena,Says Nancy Pelosi “said Trump is BEST PRESIDENT ever” and “holds new election” for him,Facebook posts,pants-fire
214,Gabrielle Settles,A photo shows Mike Tyson wearing a T-shirt with an anti-vaccine message.,Facebook posts,false
215,Tom Kertscher,“CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.”,Instagram posts,false
216,Madeline Heim,Says Joe Biden “will force Americans to pay for abortion — on demand — up to birth.”,Derrick Van Orden,barely-true
217,Amy Sherman,“Military ready to act on audit results!” in Arizona,Facebook posts,false
218,Amy Sherman,“Facts have now come out to show conclusively” that the 2020 presidential election wasn’t legitimate.,Donald Trump,pants-fire
219,Jason Asenso,"Funeral directors say “no one is dying from COVID” and ""the only ones dying are from the vaccine.""",Instagram posts,false
220,Tom Kertscher,Says John McAfee tweeted before his death that he stored computer files in the Florida condo building that later collapsed.,Instagram posts,false
221,Kelsey Sena,“Airlines begin to ban vaccinated people after Pilots die due to vaccine”,Facebook posts,false
222,Andy Nguyen,"""Japan has banned all (Black Lives Matter) apparel from the Olympics. No one can kneel or raise fists during the anthems either.""",Facebook posts,half-true
223,Kiannah Sepeda-Miller,“Prairie State power plant is the cleanest coal-fired power plant in the nation.”,Rodney Davis,pants-fire
224,Michael Majchrowicz,A flag expressing support for police officers violates the U.S. Flag Code.,Facebook posts,false
225,Jon Greenberg,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.”",Joe Biden,false
226,Samantha Putterman,Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,Bloggers,false
227,Tom Kertscher,Says Ivanka Trump was targeted in the Florida condominium building collapse.,Facebook posts,false
228,Ciara O'Rourke,"Says Gov. Ron DeSantis “just signed legislation requiring students, faculty and staff at Florida’s public universities and colleges to register their political views with the state.”",Viral image,false
229,Tom Kertscher,mRNA technology in COVID-19 vaccines was never tested in humans.,Instagram posts,false
230,Brandon Mulder,"The intent behind the bill recognizing Juneteenth as a federal holiday ""is to replace the Fourth of July.”",Matthew Rosendale,pants-fire
231,Emily Tian,Says Eric Trump said he “raised nearly $30 million for children dying of cancer at St. Jude before the age of 30.”,Instagram posts,false
232,Amy Sherman,Sen. Raphael Warnock “voted for welfare for politicians plan. Up to $25 million of government money for Warnock’s own political campaign.”,National Republican Senatorial Committee,false
233,Isabella Fertel,"“Maxine Waters just introduced a bill to re-name Memorial Day — George Floyd Day.""",Facebook posts,pants-fire
